,title,rating,reviews,type,address,operating_hours,phone,website,user_review
10,Architecture Office Débora Pires and Juliana Xavier,4.0,4.0,Architect,"R. Universitário Carlos Marcelo Pinto, 118 - Torre, João Pessoa - PB, 58040-350, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3244-4024,http://www.piresxavierarquitetura.com.br/,
11,Marconi Aragão Arquitetura,5.0,12.0,Architect,"Av. Gen. Edson Ramalho, 100 - Sala 503 - Manaíra, João Pessoa - PB, 58038-100, Brazil","{'friday': '9AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–12PM', 'tuesday': '9AM–12PM', 'wednesday': '9AM–12PM', 'thursday': '9AM–12PM'}",+55 83 98808-2982,https://www.instagram.com/marconi.arquiteto/,
12,360 Arquitetura,4.9,14.0,Architect,"Empresarial Esperança, Av. Esperança, 1074 - Sala 201 - Manaíra, João Pessoa - PB, 58038-281, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3021-3999,http://www.360arquitetura.arq.br/,
13,Sandra Moura Arquitetura,4.3,12.0,Architect,"Av. Monteiro da Franca, 989 - Manaíra, João Pessoa - PB, 58038-320, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99131-6456,http://sandramoura.com.br/,
14,Germano Romero Arquitetura,5.0,5.0,Architect,"R. Nossa Sra. dos Navegantes, 792 - Tambaú, João Pessoa - PB, 58039-111, Brazil","{'friday': '8:30AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30AM–12PM', 'tuesday': '8:30AM–12PM', 'wednesday': '8:30AM–12PM', 'thursday': '8:30AM–12PM'}",+55 83 98819-6245,http://germanoromero.com.br/,
15,Isa Rolim | Fotografia de Arquitetura,5.0,5.0,Architect,,"{'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Closed', 'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours'}",,http://isarolim.com/,
16,Línea Arquitetura,5.0,10.0,Architect,"Av. Monteiro da Franca, 957 - Manaíra, João Pessoa - PB, 58033-455, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 98715-4920,,
17,Nilene Borba e Suzienne Martins Arquitetura e Interiores,5.0,3.0,Architect,"Central Business Park, Av. Pres. Epitácio Pessoa, 753 Empresarial, Sala 307 - Estados, João Pessoa - PB, 58030-010, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98811-4394,https://www.nilenesuzienne.com/,
18,Contemporânea Arquitetura e Design de Interiores,5.0,12.0,Interior designer,"Av. Gen. Bento da Gama, 328 - Torre, João Pessoa - PB, 58040-090, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99624-0477,,
19,Terruá Arquitetura,5.0,3.0,Architect,"Rua José Clementino de Oliveira, 595 - Miramar, João Pessoa - PB, 58042-300, Brazil","{'friday': '8:30AM–12:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30AM–12:30PM', 'tuesday': '8:30AM–12:30PM', 'wednesday': '8:30AM–12:30PM', 'thursday': '8:30AM–12:30PM'}",+55 83 3506-0631,https://www.instagram.com/terrua.arquitetura/,
20,Fábio Morais Arquitetura e Interiores,5.0,4.0,Architect,"Av. Rio Grande do Sul, 1345 - Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '8am–6pm', 'saturday': '9am–12pm', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 99649-4699,,
21,Ponte Arquitetura,5.0,4.0,Architect,"R. Dep. Geraldo Mariz, 946 - Tambauzinho, João Pessoa - PB, 58042-060, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 98667-4669,http://instagram.com/pontearquitetura,
22,Georgia Suassuna Arquitetura,5.0,3.0,Architect,"Av. Sen. Ruy Carneiro, 212 - 2 - Miramar, João Pessoa - PB, 58032-101, Brazil","{'friday': '8am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5pm', 'tuesday': '8am–5pm', 'wednesday': '8am–5pm', 'thursday': '8am–5pm'}",+55 83 3023-2320,https://georgiasuassuna.com.br/,
23,GEO HERCULANO ARQUITETURA E INTERIORES,5.0,3.0,Architect,"R. dos Pinheiros, 186 - Anatólia, João Pessoa - PB, 58052-090, Brazil","{'friday': '8am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5pm', 'tuesday': '8am–5pm', 'wednesday': '8am–5pm', 'thursday': '8am–5pm'}",+55 83 98712-1393,,
24,7S34W Arquitetura,5.0,10.0,Architect,"Av. Gov. Flávio Ribeiro Coutinho, 500 - Sala 705 - Jardim Oceania, João Pessoa - PB, 58037-005, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 98832-5856,https://www.7s34w.com/,
25,Ária Arquitetura,4.1,7.0,Interior architect office,"Av. Amazonas - Estados, João Pessoa - PB, 58030-140, Brazil","{'friday': '8:30am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30am–5pm', 'tuesday': '8:30am–5pm', 'wednesday': '8:30am–5pm', 'thursday': '8:30am–5pm'}",+55 83 99858-2736,http://decoratt.vitrinevirtual.net/,
26,RAFFAELE ARQUITETURA *,5.0,2.0,Architect,"R. Bancário Manoel Geraldo da Silva, 263 - Bancários, João Pessoa - PB, 58051-300, Brazil","{'friday': '8am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5pm', 'tuesday': '8am–5pm', 'wednesday': '8am–5pm', 'thursday': '8am–5pm'}",+55 83 99695-5599,,
27,Tainá Andrade Arquitetura,4.5,2.0,Architect,"Condomínio do Edifício Empresarial Trade Office CE, SL 703, Av. Sen. Ruy Carneiro, 300 - Miramar, João Pessoa - PB, 58032-101, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 3034-4058,http://www.facebook.com/tainaandradearquitetura,
28,FABÍOLA DUARTE ARQUITETURA,5.0,4.0,Architect,"R. Enfermeira Ana Maria Barbosa de Almeida, 164 - Sala 5 - Jardim Cidade Universitária, João Pessoa - PB, 58052-270, Brazil","{'friday': '9am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–5pm', 'tuesday': '9am–5pm', 'wednesday': 'Closed', 'thursday': '9am–5pm'}",+55 83 98790-3404,https://fabioladuartearquitetura.negocio.site/?utm_source=gmb&utm_medium=referral,
29,wk + raul lins | Arquitetura & Engenharia | João Pessoa,5.0,2.0,Architect,"Avenida João Cirilo da Silva, Altiplex José Olímpio, 221 - Cabo Branco, João Pessoa - PB, 58046-005, Brazil","{'friday': '8am–6pm', 'saturday': '8am–2pm', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 81 98716-3181,http://www.wkrl.com.br/,
30,MOOV Arquitetura e Engenharia,5.0,2.0,Architect,"Rua Walfredo Macedo Brandão, 328 - Sala 105 - Anatólia, João Pessoa - PB, 58052-200, Brazil","{'friday': '9am–8pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–8pm', 'tuesday': '9am–8pm', 'wednesday': '9am–8pm', 'thursday': '9am–8pm'}",+55 83 99604-4111,https://moovarquiteturaengenharia.com.br/,
31,Amanda Cruz arquitetura + Interiores,5.0,1.0,Architect,"R. Antônio Rabelo Júnior, 161 - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 99633-4121,,
32,Adrien Wensel - Arquitetura e interiores,5.0,7.0,Interior architect office,,"{'friday': '9am–6pm', 'saturday': '9am–1pm', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 99416-3724,https://www.instagram.com/adrienwensel.arq/,
33,Tayrone Chianca - Arquitetura e interiores,5.0,1.0,Architect,"R. Bancário Sérgio Guerra, 47 - 2º Andar - Bancários, João Pessoa - PB, 58052-000, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 98808-1515,https://www.instagram.com/tayronearquiteto/,
34,Katharina Ayres Arquitetura,4.8,4.0,Architect,"R. Leonel Coelho, 339 - Pedro Gondim, João Pessoa - PB, 58031-050, Brazil","{'friday': '9am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '8:30am–6pm', 'thursday': '9am–6pm'}",+55 83 98811-7070,http://business.google.com/website/katharina-ayres-arquitetura,
35,Abstract Arquitetura,5.0,1.0,Architect,,"{'friday': '8:30am–7pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30am–7pm', 'tuesday': '8:30am–7pm', 'wednesday': '8:30am–7pm', 'thursday': '8:30am–7pm'}",+55 83 99675-2525,,
36,CIBELLI GOMES | ARQUITETURA,5.0,1.0,Architect,"Av. Sen. Ruy Carneiro, 300 - Tambaú, João Pessoa - PB, 58039-181, Brazil","{'friday': '9am–7pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–7pm', 'tuesday': '9am–7pm', 'wednesday': '9am–7pm', 'thursday': '9am–7pm'}",+55 83 99988-7695,,
37,Marb arquitetura e design,5.0,1.0,Architect,"Av. Sen. Ruy Carneiro, 115 - Brisamar, João Pessoa - PB, 58032-100, Brazil","{'friday': '8am–12pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–12pm', 'tuesday': '8am–12pm', 'wednesday': '8am–12pm', 'thursday': '8am–12pm'}",+55 83 98894-8709,,
38,CRN arquitetura,5.0,19.0,Architects association,"Torre Sul, Duo Corporate Towers Rua Emp. Clovis Rolim, 2051 - Brisamar, Sala 602 - Pedro Gondim, João Pessoa - PB, 58033-454, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 99305-3159,http://crn.arq.br/,
39,Débora Julinda Arquitetura e Interiores,5.0,2.0,Architect,"Av. Pres. Epitácio Pessoa, 4840 - Cabo Branco, João Pessoa - PB, 58045-000, Brazil",,+55 83 3247-2971,http://www.deborajulinda.com/,
40,Débora Julinda Arquitetura e Interiores,5.0,2.0,Architect,"Av. Pres. Epitácio Pessoa, 4840 - Cabo Branco, João Pessoa - PB, 58045-000, Brazil",,+55 83 3247-2971,http://www.deborajulinda.com/,
41,Donzarq Arquitetura,5.0,3.0,Architect,"R. Josita Almeida, 240 - Altiplano Cabo Branco, João Pessoa - PB, 58046-490, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 99385-7713,https://conteudo.donzarq.com.br/donzarqarquitetura,
42,Nathalia Lima -Arquitetura e Urbanismo,5.0,2.0,Architect,"Av. Mato Grosso - Estados,828, 58030-080. Sala 02, João Pessoa - PB, Brazil","{'friday': '9am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–5pm', 'tuesday': '9am–5pm', 'wednesday': '9am–5pm', 'thursday': '9am–5pm'}",+55 83 98804-0787,https://www.instagram.com/nathalia_lima_arqui/,
43,Brava Arquitetura,5.0,1.0,Architect,"Ed. Evolution Business Center, Av. Rio Grande do Sul, 1345 - Estados, João Pessoa - PB, 58030-020, Brazil","{'friday': '7:30am–8pm', 'saturday': '7:30am–2pm', 'sunday': 'Closed', 'monday': '7:30am–8pm', 'tuesday': '7:30am–8pm', 'wednesday': '7:30am–8pm', 'thursday': '7:30am–8pm'}",+55 83 99858-2553,http://www.instagram.com/brava.arq,
44,Allysandra Delmas Arquitetura & Interiores,5.0,1.0,Architect,"Edifício Phoenix, Av. Sen. Ruy Carneiro, 33 - 208 - Tambauzinho, João Pessoa - PB, 58032-101, Brazil",,+55 83 3244-8086,http://allysandra.com.br/,
45,Luisa Maroja Arquitetura,5.0,4.0,Architect,"Av. Cabo Branco - Cabo Branco, João Pessoa - PB, 58045-010, Brazil",,+55 83 99106-7953,,
46,Jailton Jales Arquitetura Ltda,5.0,8.0,Architecture firm,"Empresarial Daterra Office, Av. Acre, 446 - 203 - Estados, João Pessoa - PB, 58030-230, Brazil","{'friday': '8am–12pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–12pm', 'tuesday': '8am–12pm', 'wednesday': '8am–12pm', 'thursday': '8am–12pm'}",+55 83 3576-8949,http://jjales.com.br/,
47,Arq-i Arquitetura e Iluminação Ltda,5.0,1.0,Architect,"Av. Pres. Epitácio Pessoa, 475 - Estados, João Pessoa - PB, 58030-001, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 99144-0583,,
48,Lucas Lustosa | Arquitetura e Interiores,5.0,1.0,Interior architect office,"Av. Rio Grande do Sul, 1345, Ed. Evolution Business Center, 2 andar Sala 210, Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '9am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–5pm', 'tuesday': '9am–5pm', 'wednesday': '9am–5pm', 'thursday': '9am–5pm'}",+55 83 98743-5403,http://www.instagram.com/lucas.arquitetura,
49,Fernanda Barros Arquitetura,,,Architect,"Edifício Eco Business Center, Rua Antônio Rabelo Júnior, 161, Tambaú, Sala 906 - 9º Andar - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '8am–12pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–12pm', 'tuesday': '8am–12pm', 'wednesday': '8am–12pm', 'thursday': '8am–12pm'}",+55 83 3508-8008,http://www.fernandabarrosarq.com.br/,
50,Rafaela Galdino Arquitetura,,,Architect,"R. Manoel Belarmino de Macedo - Lot. Cidade Universitaria, João Pessoa - PB, 58052-290, Brazil","{'friday': '9am–7pm', 'saturday': '9:30am–5:30pm', 'sunday': 'Closed', 'monday': '9am–7pm', 'tuesday': '9am–7pm', 'wednesday': '9am–7pm', 'thursday': '9am–7pm'}",+55 83 99615-9456,https://rafaela-galdino-arquitetura.ueniweb.com/?utm_campaign=gmb,
51,AC.Arquitetura,4.2,6.0,Corporate office,"Edifício Atlantis Home Service, Av. Monsenhor Odilon Coutinho, 191 - Cabo Branco, João Pessoa - PB, 58045-120, Brazil",,,,
52,PONTO3 ARQUITETURA,4.5,2.0,Architect,"Av. Silvino Chaves, 360 - Manaíra, João Pessoa - PB, 58038-420, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 3021-7189,,
53,Milena Régis Arquitetura + Interiores,,,Architect,"Av. Ruy Carneiro, 33 Empresarial Phoenix, sala 113, Miramar, João Pessoa - PB, 58032-101, Brazil",,+55 83 98105-2834,,
54,Welington Barbosa Arquitetura,,,Architect,"EcoBusiness Center, R. Antônio Rabelo Júnior, 161 - Sl. 2108 - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '9am–7pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–7pm', 'tuesday': '9am–7pm', 'wednesday': '9am–7pm', 'thursday': '9am–7pm'}",+55 83 99129-5362,,
55,Layout Arquitetura,,,Architect,"Condomínio Edifício Wal Car, Av. Pres. Epitácio Pessoa, 3014 - Tambauzinho, João Pessoa - PB, 58045-000, Brazil",,+55 83 98888-0113,https://layout-arquitetura.negocio.site/,
56,Anarquitetos | Estúdio de Arquitetura & Design,5.0,4.0,Architect,"R. Bananeiras, 361 - Sala 101 - Manaíra, João Pessoa - PB, 58038-170, Brazil","{'friday': '8am–12pm', 'saturday': '8am–12pm', 'sunday': 'Closed', 'monday': '8am–12pm', 'tuesday': '8am–12pm', 'wednesday': '8am–12pm', 'thursday': '8am–12pm'}",+55 83 99922-0474,https://www.anarquitetos.com.br/,
57,ECB Arquitetura,,,Architect,"Rua Antônio Rabelo Júnior,161 Eco Business Center, Sala 1711 - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 98889-2561,,
58,Danilo Alves - Arquitetura e Interiores,,,Interior architect office,"R. Empresário João Rodrigues Alves, 125 - Bancários, João Pessoa - PB, 58051-022, Brazil","{'friday': '8am–7pm', 'saturday': '8am–7pm', 'sunday': 'Closed', 'monday': '8am–7pm', 'tuesday': '8am–7pm', 'wednesday': '8am–7pm', 'thursday': '8am–7pm'}",+55 83 98717-3630,https://daniloalvesarq.wixsite.com/arquitetura,
59,Beatriz Cavalcanti - Arquitetura | Interiores,,,Architect,"Av. Rio Grande do Sul, 1345 - Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '9am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9am–6pm', 'tuesday': '9am–6pm', 'wednesday': '9am–6pm', 'thursday': '9am–6pm'}",+55 83 98807-2512,,
60,Lais Morais Arquitetura,5.0,1.0,Architect,"R. Nossa Sra. dos Navegantes, 521 - Sala 403 - Tambaú, João Pessoa - PB, 58039-000, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 98787-2728,https://instagram.com/laismoraisarquitetura?igshid=rtyo18g9ognu,
61,ECB Arquitetura,,,Architect,"Rua Antônio Rabelo Júnior,161 Eco Business Center, Sala 1711 - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 98889-2561,,
62,Beatriz Cavalcanti - Arquitetura | Interiores,,,Architect,"Av. Rio Grande do Sul, 1345 - Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 98807-2512,,
63,Jean Barreto Arquitetura,,,Architect,"R. Dr. Antônio Palitot, n 151 - Bancários, João Pessoa - PB, 58051-780, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99634-0223,https://jean-barreto-arquitetura.negocio.site/?utm_source=gmb&utm_medium=referral,
64,Escritório De Arquitetura E Engenharia - Traço Sá,5.0,4.0,Architect,"Av. Pombal - Manaíra, João Pessoa - PB, 58038-242, Brazil","{'friday': '9AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–5PM', 'tuesday': '9AM–5PM', 'wednesday': '9AM–5PM', 'thursday': '9AM–5PM'}",+55 83 99630-0578,https://traco-sa.negocio.site/?utm_source=gmb&utm_medium=referral,
65,Danilo Alves - Arquitetura e Interiores,,,Interior architect office,"R. Empresário João Rodrigues Alves, 125 - Bancários, João Pessoa - PB, 58051-022, Brazil","{'friday': '8AM–7PM', 'saturday': '8AM–7PM', 'sunday': 'Closed', 'monday': '8AM–7PM', 'tuesday': '8AM–7PM', 'wednesday': '8AM–7PM', 'thursday': '8AM–7PM'}",+55 83 98717-3630,https://daniloalvesarq.wixsite.com/arquitetura,
66,MK Arquitetura e Associados,5.0,3.0,Architect,"DCT - Duo Corporate Towers, R. Empresário Clóvis Rolim, 2051 - Bairro dos Ipês, João Pessoa - PB, 58033-454, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99342-3106,http://www.mkarquitetura.com.br/,
67,TR Queiroga Arquitetura,,,Architect,"Av. Sen. Ruy Carneiro, 300 - Sala 508 - Miramar, João Pessoa - PB, 58032-101, Brazil","{'friday': '8AM–4PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3244-5002,http://www.trqueiroga.com/,
68,Lucas Lustosa | Arquitetura e Interiores,5.0,1.0,Interior architect office,"Av. Rio Grande do Sul, 1345, Ed. Evolution Business Center, 2 andar Sala 210, Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '9AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–5PM', 'tuesday': '9AM–5PM', 'wednesday': '9AM–5PM', 'thursday': '9AM–5PM'}",+55 83 98743-5403,http://www.instagram.com/lucas.arquitetura,
69,Risque Projetos: Arquitetura e Engenharia.,,,Architect,"R. Mauro Moura Machado - José Américo de Almeida, João Pessoa - PB, 58074-100, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99878-6846,http://www.risqueprojetos.com.br/,
70,COLESI ARQUITETURA,,,Architect,"R. Isaura Silveira Lira - Água Fria, João Pessoa - PB, 58053-012, Brazil",,,,
