,title,rating,reviews,type,address,operating_hours,phone,website,user_review
15,Moreira e Ruffos Construções e Incorporações,4.8,10.0,Construction company,"Av. Expedicionários, 264 - Expedicionários, João Pessoa - PB, 58041-010, Brazil","{'friday': '8AM–12PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3224-9166,http://www.moreiraeruffos.com.br/,
16,Construtora Luxor,4.2,14.0,Construction company,"Luxor Office, R. Rad. Antônio Assunção de Jesus, 400 - Sala 201 - Jardim Cidade Universitária, João Pessoa - PB, 58038-230, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3235-8620,http://construtoraluxor.com.br/,
17,Ibérica,4.2,15.0,Home builder,"Ed. Concorde, Av. Pres. Epitácio Pessoa, n° 1250 - sala 314 - Torre, João Pessoa - PB, 58030-000, Brazil","{'friday': 'Closed', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 3224-6600,http://www.construtoraiberica.com.br/,
18,Construtora LJL,4.4,7.0,Construction company,"Av. Alm. Barroso, 377 - Centro, João Pessoa - PB, 58013-120, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 98104-2555,,
19,Massai Buildings & Incorporations Ltda.,4.8,139.0,Home builder,"Av. Monteiro da Franca, 1092 - Manaíra, João Pessoa - PB, 58038-320, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3044-7881,http://www.massai.com.br/,
20,Marcolino Construções,4.9,15.0,Construction company,"R. Marcionila da Conceição, 1424 - Cabo Branco, João Pessoa - PB, 58045-050, Brazil","{'friday': '7:30AM–5:30PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '7:30AM–5:30PM', 'tuesday': '7:30AM–5:30PM', 'wednesday': '7:30AM–5:30PM', 'thursday': '7:30AM–5:30PM'}",+55 83 3235-4471,https://marcolinoconstrucoes.com.br/,
21,Urban Incorporadora,4.7,12.0,Home builder,"R. Abelardo da Silva Guimarães Barreto, n. 51 - sala 103 - Altiplano Cabo Branco, João Pessoa - PB, 58046-090, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",,http://www.vivaurban.com.br/,
22,MGA Construções,4.4,27.0,Construction company,"Rua Augusto Belmont, nº134 - Manaíra, João Pessoa - PB, 58038-050, Brazil","{'friday': '8AM–6PM', 'saturday': '9AM–1PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3226-3363,http://www.mgaconstrucoes.com.br/,
23,Vetorbras Engenharia e Consultoria Ltda,5.0,5.0,Construction company,"Av. Sinésio Guimarães, 301 - sala 205 - Torre, João Pessoa - PB, 58040-400, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 98709-5892,https://vetorbras.com.br/,
24,NHolanda Construtora,4.9,18.0,Construction company,"Av. Antônio Lira, 536 - Loja 01 - Tambaú, João Pessoa - PB, 58039-050, Brazil","{'friday': '7:30AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '7:30AM–6PM', 'tuesday': '7:30AM–6PM', 'wednesday': '7:30AM–6PM', 'thursday': '7:30AM–6PM'}",+55 83 3035-4400,http://www.holandasprime.com.br/,
25,Eurobrasil Construtora,3.8,20.0,Construction company,"Rua Severino Massa Spinelli, 270 - Tambaú, João Pessoa - PB, 58039-210, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3031-0900,,
26,Monteiro Constructions and Projects,4.1,25.0,Construction company,"Av. Esperança, 1153 - Manaíra, João Pessoa - PB, 58038-281, Brazil","{'friday': '7:30AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30AM–12PM', 'tuesday': '7:30AM–12PM', 'wednesday': '7:30AM–12PM', 'thursday': '7:30AM–12PM'}",+55 83 4009-0200,http://www.construtoramonteiro.com/,
27,DRX Construtora,5.0,39.0,Construction company,"R. Empresário Clóvis Rolim, 2051 - Bairro dos Ipês, João Pessoa - PB, 58028-873, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99877-6474,https://www.drxconstrucoes.com.br/,
28,Planc,4.3,38.0,Construction company,"Av. Esperança, 976 - Manaíra, João Pessoa - PB, 58038-281, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3219-7740,http://www.planc.com.br/,
29,Construtora Tropical,4.7,58.0,Apartment complex,"R. Ivanice Martins da Câmara, 86 - Jardim Oceania, João Pessoa - PB, 58037-115, Brazil","{'friday': '7:30AM–4:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30AM–5:30PM', 'tuesday': '7:30AM–5:30PM', 'wednesday': '7:30AM–5:30PM', 'thursday': '7:30AM–5:30PM'}",+55 83 3031-9191,,
30,Construr Construções e Reformas,5.0,6.0,Construction company,"R. Sindolfo Gonçalves Chaves, 65 - Cidade dos Funcionários II, João Pessoa - PB, 58078-180, Brazil","{'friday': '7AM–4PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7AM–5PM', 'tuesday': '7AM–5PM', 'wednesday': '7AM–5PM', 'thursday': '7AM–5PM'}",+55 83 99866-4615,,
31,Everest,4.6,11.0,Construction company,"Av. Antônio Lira, 182 - Tambaú, João Pessoa - PB, 58039-050, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3247-7854,http://www.construtoraeverest.com.br/,
32,Portomar Construtora Ltda.,5.0,5.0,Construction company,"Parthenon Business, R. Josita Almeida, 240 - sl. 29 e 30 - Altiplano Cabo Branco, João Pessoa - PB, 58033-455, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3185-7646,http://portomarconstrutora.com.br/,
33,Civiltec Construtora,4.6,7.0,Civil engineer,"Av. Carneiro da Cunha, 48 - Torre, João Pessoa - PB, 58040-240, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3031-0787,https://civiltecconstrutora.com/,
34,Chaves Construções e Incorporações,5.0,5.0,Construction company,"Av. Santa Catarina, 755 - Estados, João Pessoa - PB, 58030-071, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3048-4014,http://chavesconstrucoes.com.br/,
35,DG DE ALBUQUERQUE CONSTRUTORA EIRELI,5.0,7.0,Building firm,,"{'friday': '7AM–5:30PM', 'saturday': '7AM–5:30PM', 'sunday': 'Closed', 'monday': '7AM–5:30PM', 'tuesday': '7AM–5:30PM', 'wednesday': '7AM–5:30PM', 'thursday': '7AM–5:30PM'}",+55 83 99912-6834,https://d-g-de-albuquerque-construtora-eireli.negocio.site/?utm_source=gmb&utm_medium=referral,
36,Imperial Constructions,4.4,7.0,Construction company,"Av. Alm. Tamandaré, 612 - Tambaú, João Pessoa - PB, 58039-010, Brazil","{'friday': '8:30AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30AM–12PM', 'tuesday': '8:30AM–12PM', 'wednesday': '8:30AM–12PM', 'thursday': '8:30AM–12PM'}",+55 83 3247-3977,http://www.imperialconstrucoes.com.br/,
37,Construtora S. Vieira,5.0,3.0,Construction company,"R. Prof. Joaquim Santiago, 89 - Expedicionários, João Pessoa - PB, 58041-030, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98893-0036,,
38,Rv Construtora e Empreendimentos Imobiliários Ltda,4.0,4.0,Home builder,"R. Hercílio Alves de Souza, 87 - Bancários, João Pessoa - PB, 58051-290, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3235-5378,,
39,Hema,3.7,57.0,Construction company,"Av. João Maurício, 1041 - Manaíra, João Pessoa - PB, 58038-000, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3241-4041,http://construtorahema.com.br/,
40,verda construtora,2.5,2.0,General contractor,"Av. Dom Pedro II, 531 - Torre, João Pessoa - PB, 58013-420, Brazil",,+55 83 98889-0061,https://www.verdaconstrutora.com/contact,
41,Construtora Unicasa,5.0,6.0,Construction company,"Av. Esperança, 710 - Manaíra, João Pessoa - PB, 58038-281, Brazil","{'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Open 24 hours', 'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours'}",+55 83 98901-9036,https://instagram.com/constutoraunicasa,
42,RB CONSTRUTORA,5.0,4.0,Earth works company,"Em Frente Ao Banco Do Brasil, Av. Cruz das Armas, 934 - Cruz das Armas, João Pessoa - PB, 58085-000, Brazil","{'friday': '7AM–7PM', 'saturday': '7:30AM–12PM', 'sunday': '7:30AM–12PM', 'monday': '7AM–7PM', 'tuesday': '7AM–7PM', 'wednesday': '7AM–7PM', 'thursday': '7AM–7PM'}",+55 83 99892-0050,https://rb-construtora-earth-works-company.negocio.site/?utm_source=gmb&utm_medium=referral,
43,JW Construtora e Imobiliária Ltda,5.0,6.0,Corporate office,"R. Abelardo da Silva Guimarães Barreto, 51 - Sala 1203 - Altiplano Cabo Branco, João Pessoa - PB, 58046-005, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3576-6744,http://www.jwconstrutora.com/,
44,CIMOL Construtora e Imobiliária Moura,5.0,2.0,Construction company,"Emp.Cimol, Av. Júlia Freire, 617 - sl 101 - Torre, João Pessoa - PB, 58040-040, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3224-9191,,
45,Construtora Planície,3.0,5.0,Custom home builder,"R. Agricultor Almerindo Luiz da Silva - Distrito Industrial, João Pessoa - PB, 58082-801, Brazil","{'friday': '7AM–6PM', 'saturday': '7AM–12PM', 'sunday': 'Closed', 'monday': '7AM–6PM', 'tuesday': '7AM–6PM', 'wednesday': '7AM–6PM', 'thursday': '7AM–6PM'}",+55 83 3233-0235,,
46,NOVA CONSTRUTORA,5.0,4.0,Building firm,"R. Derlópidas Gomes Neves, 79 - Bancários, João Pessoa - PB, 58051-260, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 3021-5118,,
47,Construtora Torreão Villarim Ltda,4.8,4.0,Construction company,"Av. Amazonas, 290 - Estados, João Pessoa - PB, 58030-140, Brazil","{'friday': '7:30AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30AM–5:30PM', 'tuesday': '7:30AM–5:30PM', 'wednesday': '7:30AM–5:30PM', 'thursday': '7:30AM–5:30PM'}",+55 83 3244-3912,https://torreaovillarim.com.br/,
48,Jra Construtora,3.2,5.0,Construction company,"R. Abelardo da Silva Guimarães Barreto, 51 - Altiplano Cabo Branco, João Pessoa - PB, 58046-110, Brazil",,+55 83 98671-0652,https://www.construtorajra.com.br/,
49,Mais Construtora e Incorporadora LTDA,3.1,50.0,Construction company,"R. Maria Rosa Padilha, 249 - Aeroclube, João Pessoa - PB, 58036-840, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': '8AM–6PM', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3576-6545,http://www.maisconstrutora.com.br/,
50,Construtora Cunha Fernandes LTDA,5.0,1.0,Construction company,"Av. Rio Grande do Sul, 1229 - Estados, João Pessoa - PB, 58030-021, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3244-8618,,
51,Construtora Irmãos Dantas,5.0,1.0,Construction company,"R. Barão de Passagem, 230 - Torre, João Pessoa - PB, 58033-455, Brazil",,+55 83 3246-3912,,
52,Refrigeração E Construtora Sete Estrelas,3.2,5.0,Construction company,"R. Irineu Joffily, 46 - Trincheiras, João Pessoa - PB, 58011-110, Brazil","{'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Open 24 hours', 'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours'}",+55 83 98706-9138,,
53,LR Construtora & Incorporadora,5.0,1.0,Civil engineering company,"R. Horácio Trajano de Oliveira - Cristo Redentor, João Pessoa - PB, 58071-265, Brazil",,+55 83 99690-4072,,
54,Mediterranné Construções e Incorporações LTDA.,3.7,3.0,Construction company,"R. Francisco Carneiro de Araújo, 25 - Cabo Branco, João Pessoa - PB, 58045-190, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 3513-8349,http://www.mediterranne.com.br/,
55,Construtora Juremal,2.0,1.0,Construction company,"R Cel Jose Cesario da Nóbrega, 30 - Água Fria, João Pessoa - PB, 58053-017, Brazil",,+55 8391294168,http://construtorajuremal.com.br/,
56,Hx Construtora,5.0,1.0,Construction company,"R. Dep. José Mariz, 738 - Tambauzinho, João Pessoa - PB, 58042-020, Brazil","{'friday': '8AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 3252-1151,https://hxconstrutora.com.br/contato,
57,Jra Construtora,5.0,1.0,Construction company,"R. Pref. Osvaldo Pessoa, 290 - Jaguaribe, João Pessoa - PB, 58015-510, Brazil",,,,
58,EMBRACO,5.0,1.0,Construction company,"Av. Dom Pedro II, 1269 - Centro, João Pessoa - PB, 58040-440, Brazil",,+55 84 3317-3542,http://construtoraembraco.com.br/,
59,Construtora Mandala,5.0,1.0,Construction company,"R. Dep. Jáder Medeiros, 131 - Tambauzinho, João Pessoa - PB, 58042-070, Brazil",,+55 83 98662-4360,,
60,MOAR Construtora,5.0,1.0,Construction company,"Av. Vasco da Gama - Jaguaribe, João Pessoa - PB, 58015-202, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 98845-5455,https://moar-construtora.negocio.site/?utm_source=gmb&utm_medium=referral,
61,GLOBAL CONSTRUTORA LTDA,3.0,1.0,Construction company,"Moriah Shopping, Av. Pres. Epitácio Pessoa, 2580 - Sala 103 e 104 - Tambauzinho, João Pessoa - PB, 58308-260, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3244-7766,http://www.global10.com.br/,
62,CONSTRUTORA AZUS,5.0,1.0,Construction company,"Av. Sen. Ruy Carneiro, 115 - Brisamar, João Pessoa - PB, 58032-100, Brazil","{'friday': '7AM–4PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7AM–5PM', 'tuesday': '7AM–5PM', 'wednesday': '7AM–5PM', 'thursday': '7AM–5PM'}",+55 83 99891-5204,,
63,Construtora Segmento,2.0,1.0,Construction company,"R. Afonso Ramos Maia, 65 - Brisamar, João Pessoa - PB, 58033-040, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3624-3535,,
64,Joffer Construtora,5.0,1.0,Construction company,"Av. Sen. Ruy Carneiro, 303 - Green Tower - 17° andar - sala 1701, Brisamar, João Pessoa - PB, 58086-100, Brazil","{'friday': '8AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 98788-1833,https://www.instagram.com/jofferconstrutora,
65,Construtora Sanccol Ltda,4.8,13.0,Road construction company,"Jardim Alfa, Cabedelo - PB, 58310-000, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3246-6040,http://sanccolpb.com.br/,
66,Unida Construtora,4.0,7.0,Home builder,"DCT - Duo Corporate Towers 2051, Rod. Gov. Antonio Mariz - Lot. Oceania III, João Pessoa - PB, 58034-030, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3185-5858,http://www.unidaconstrutora.com.br/,
67,Construtora construdantas garagem oficina,4.0,1.0,Construction company,"R. Paulo Roberto Moreira Da Cunha, 20 - Cidade dos Colibris, João Pessoa - PB, 58073-173, Brazil",,,,
68,3ME Construtora e Imobiliária,4.8,6.0,Construction company,"Empresarial Praia Shopping, Av. Gov. Flávio Ribeiro Coutinho, 707 - Sala 220 - Manaíra, João Pessoa - PB, 58037-000, Brazil","{'friday': '8AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 3021-6469,,
69,Construtora Earlen,4.0,5.0,Construction company,"Emp. Center, Av. Gov. Flávio Ribeiro Coutinho, 707 - Sala 219 - Manaíra, João Pessoa - PB, 58037-000, Brazil","{'friday': '7AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7AM–12PM', 'tuesday': '7AM–12PM', 'wednesday': '7AM–12PM', 'thursday': '7AM–12PM'}",+55 83 3246-1640,,
70,Construtora Três Marias,,,Construction company,"R. Profa. Alice Azevedo, 288A - Centro, João Pessoa - PB, 58013-480, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99996-7776,http://linktr.ee/construtoratresmarias,
71,Omega Construtora e Imobiliaria,4.0,2.0,Real estate agency,"Av. Júlia Freire, 492 - Torre, João Pessoa - PB, 58040-000, Brazil",,,,
72,Fibra Construtora e Incorporadora Ltda,2.5,2.0,Construction company,"Av. Monsenhor Odilon Coutinho, 110 - Cabo Branco, João Pessoa - PB, 58045-120, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3508-9881,http://www.fibraconstrutora.com.br/,
