,title,rating,reviews,type,address,operating_hours,phone,website
22,Borba Arquitetura e Interiores,5.0,2.0,Landscape architect,"R. Augusto Borborema, 172 - Cruzeiro, Campina Grande - PB, 58415-360, Brazil","{'friday': '8AM–12PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99639-1159,http://instagram.com/borbaarq
23,708 Arquitetura,5.0,2.0,Architect,"R. Benjamin Constant, 170 - Sala 708 A - Estacao Velha, Campina Grande - PB, 58410-003, Brazil","{'friday': '8AM–6PM', 'saturday': '8–11:30AM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98883-9875,
24,AM Arquitetura e Construção,5.0,19.0,Corporate office,"R. Monteiro Lobato, 570 - Lauritzen, Campina Grande - PB, 58401-417, Brazil","{'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Open 24 hours', 'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours'}",+55 83 99616-3266,https://instagram.com/am.arquiteturapb?igshid=1h544rsrg1rj3
25,Wton Farias Arquitetos,5.0,2.0,Architect,"R. Otacílio Nepomuceno, 420 - Catolé, Campina Grande - PB, 58410-653, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99921-2278,
26,Ana Melo Arquitetura,5.0,3.0,Architect,"Rua Vigário Calixto, 1754 Empresarial Atlanta, sala 407 - Catolé, Campina Grande - PB, 58410-340, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 98164-2520,https://www.instagram.com/anameloarquitetura/
27,Ana Glícia Figueiredo - Arquitetura e Interiores,5.0,3.0,Architect,"Av. Dr. Elpídio de Almeida - Catolé, Campina Grande - PB, 58410-215, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98802-8350,https://www.instagram.com/anagliciaarquitetura/
28,LAYER - Arquitetura e Urbanismo,5.0,2.0,Architect,"R. Ezequiel Tavares de Souza, 87c - Palmeira Imperial, Campina Grande - PB, 58418-107, Brazil","{'friday': '10AM–5PM', 'saturday': '10AM–2PM', 'sunday': 'Closed', 'monday': '10AM–5PM', 'tuesday': '10AM–5PM', 'wednesday': '10AM–5PM', 'thursday': '10AM–5PM'}",+55 83 99407-2165,http://layerarquitetura.wixsite.com/home
29,Rayssa Lira | Arquitetura.Interiores.Design,3.0,2.0,Architect,"R. Ver. Arrojado Lisboa, 273 A - Monte Santo, Campina Grande - PB, 58400-640, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3343-1292,
30,DOIS STUDIO DE ARQUITETURA,5.0,4.0,Architect,"R. Otacílio Nepomuceno, 100 A - sala 26 - Catolé, Campina Grande - PB, 58410-160, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3077-1283,
31,Hangar Arquitetura,5.0,12.0,Architects association,"Rua Vigário Calixto, 1754 Atlanta Work Place, Sala 521, Campina Grande - PB, 58410-340, Brazil","{'friday': '8AM–7PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–7PM', 'tuesday': '8AM–7PM', 'wednesday': '8AM–7PM', 'thursday': '8AM–7PM'}",+55 83 98816-9139,https://www.instagram.com/hangar.escritorio/
32,Papo de Arquiteto - Arquitetura,4.5,2.0,Architect,"R. Pacífico Licarião da Trindade, 120 - Bodocongó, Campina Grande - PB, 58430-485, Brazil","{'friday': '9AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–12PM', 'tuesday': '9AM–12PM', 'wednesday': '9AM–12PM', 'thursday': '9AM–12PM'}",+55 83 98886-2770,https://www.papodearquiteto.com.br/
33,Escritório de Arquitetura Virna Brito,5.0,6.0,Interior architect office,"R. Aprígio Pereira Nepomuceno, 1100 - Liberdade, Campina Grande - PB, 58415-300, Brazil","{'friday': '7:30–11AM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30–11AM', 'tuesday': '7:30–11AM', 'wednesday': '7:30–11AM', 'thursday': '7:30–11AM'}",+55 83 98864-7843,https://virnabritoarquiteta.negocio.site/?utm_source=gmb&utm_medium=referral
34,Mesquita + Sousa Arquitetura,5.0,7.0,Corporate office,"R. Benjamin Constant, 170 - sala 1702 - Estacao Velha, Campina Grande - PB, 58410-003, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99629-0111,https://www.instagram.com/mesquitasousarquitetura/
35,Sthefane Costa Arquitetura & Design,5.0,6.0,Architect,,"{'friday': '8AM–6PM', 'saturday': '8AM–1PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",,https://www.instagram.com/arquitetasthefane/
36,Dome Arquitetura,5.0,1.0,Architect,"R. Vig. Calixto, 889/202 - Catolé, Campina Grande - PB, 58410-340, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3063-4667,
37,Saulo Mangueira - Arquitetura / Interiores e Móveis Planejados,5.0,2.0,Architect,,"{'friday': '9AM–6PM', 'saturday': '9AM–12PM', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99670-6556,https://saulo-mangueira-arquiteto.negocio.site/?utm_source=gmb&utm_medium=referral
38,3d Arqui-design,5.0,1.0,Architect,"R. Maciel Pinheiro, 102 - Centro, Campina Grande - PB, 58400-000, Brazil","{'friday': '9AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–5PM', 'tuesday': '9AM–5PM', 'wednesday': '9AM–5PM', 'thursday': '9AM–5PM'}",+55 83 98806-0553,
39,JW ARQUITETURA,5.0,1.0,Architect,"R. Buenos Aíres, 845 - Alto Branco, Campina Grande - PB, 58402-060, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '6AM–6PM'}",+55 83 98706-6001,
40,ArqWorking Arquitetura,5.0,1.0,Architect,"Rua Vigário Calixto, Nº1754, Empresarial Atlanta 1º Andar, Sala 101, Catolé, Campina Grande - PB, 58410-340, Brazil","{'friday': '9AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–5PM', 'tuesday': '9AM–5PM', 'wednesday': '9AM–5PM', 'thursday': '9AM–5PM'}",+55 83 98720-1774,https://instagram.com/arqworking_arquitetura?igshid=may6r0axcve9
41,Ítalo Tavares Arquiteto,5.0,1.0,Architect,"R. José do Patrocínio, 410 - São José, Campina Grande - PB, 58409-344, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99980-6192,http://instagram.com/arq.italotavares
42,LILIANNE ARAGÃO - ARQUITETA,5.0,1.0,Architect,"Complexo Heron Marinho Bussines Center, 702, Vila Cabral, Campina Grande - PB, 58408-000, Brazil","{'friday': '1–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '1–6PM', 'tuesday': '1–6PM', 'wednesday': '1–6PM', 'thursday': '1–6PM'}",+55 83 98816-1134,https://www.instagram.com/liliannearagaoarquiteta
43,Contemporanea Arquitetura e Interiores,5.0,1.0,Architect,"R. Vig. Calixto, 1250 - Catolé, Campina Grande - PB, 58104-480, Brazil",,+55 83 3337-2165,http://escritoriocontemporanea.blogspot.com/
44,Augusto Terto Arquitetura & Lighting Design,5.0,2.0,Architect,,"{'friday': '9AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–12PM', 'tuesday': '9AM–12PM', 'wednesday': '9AM–12PM', 'thursday': '9AM–12PM'}",+55 83 98828-1469,https://www.instagram.com/augustotertoarquitetura/
45,360 Arquitetura,5.0,3.0,Interior architect office,"R. Manoel Tavares - Lauritzen, Campina Grande - PB, 58401-490, Brazil","{'friday': '8AM–6:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6:30PM', 'tuesday': '8AM–6:30PM', 'wednesday': '8AM–6:30PM', 'thursday': '8AM–6:30PM'}",+55 83 98220-9363,http://360arquitetura.arq.br/
46,Reiwa - Arquitetura e Design,5.0,1.0,Architect,"R. José Bernardino, 97 - Sala 206 - Vila Cabral, Campina Grande - PB, 58408-027, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99648-1059,https://reiwa.arq.br/
47,Bruno Philippe Arquiteto,5.0,1.0,Architect,"R. Fernandes Viêira, 482 - 1° Andar, Sala 02 - José Pinheiro, Campina Grande - PB, 58407-490, Brazil","{'friday': '8:30AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8:30AM–12PM', 'tuesday': '8:30AM–12PM', 'wednesday': '8:30AM–12PM', 'thursday': '8:30AM–12PM'}",+55 83 99660-2804,https://brunophilippearquiteto.business.site/
48,Andressa Pessoa - Arquitetura e Interiores,,,Architect,,"{'friday': '10AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '10AM–6PM', 'tuesday': '10AM–6PM', 'wednesday': '10AM–6PM', 'thursday': '10AM–6PM'}",+55 83 98732-6185,https://andressa-pessoa-arquitetura-e-interiores.negocio.site/?utm_source=gmb&utm_medium=referral
49,Lucas Arruda,5.0,1.0,Architect,"R. Benjamin Constant, 170 - Estacao Velha, Campina Grande - PB, 58410-003, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99859-3632,https://www.instagram.com/lucasarrudaarq/
50,Mariane Almeida - arquitetura e interiores,,,Architect,"R. Vice-Prefeito Antônio de Carvalho Sousa 450, Estacao Velha, Campina Grande - PB, 58410-050, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 98811-9976,
51,Kati Diniz Arquitetura,,,Architect,"R. Dom Pedro II, 318 - Sala 001 - Centro, Campina Grande - PB, 58400-062, Brazil",,+55 83 98899-7902,
52,Crispim Arquitetura,,,Architect,"R. Nilo Peçanha, 84 - Prata, Campina Grande - PB, 58400-515, Brazil","{'friday': '2–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '2–6PM', 'tuesday': '2–6PM', 'wednesday': '2–6PM', 'thursday': '2–6PM'}",+55 83 3343-1807,https://www.facebook.com/crispimarquitetura
53,BM Arquitetura e Design,4.5,2.0,Interior architect office,"R. Dom Pedro II, 479 - Centro, Campina Grande - PB, 58400-062, Brazil","{'friday': '8AM–1PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3063-1587,
54,Eugênio Aquino Arquitetura e Design,,,Architect,"R. José Silvestre Soares, 417 - Jardim Tavares, Campina Grande - PB, 58402-056, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98882-3842,
55,Caroá Arquitetura & Urbanismo,,,Architect,"Edifícil Maanaim Center, R. Sebastião Donato, 25 - Sala 123 - Centro, Campina Grande - PB, 58400-030, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3063-2624,
56,Unité Arquitetura e Interiores,,,Architect,"R. Vigário. Calixto, 1754 - Empresarial Atlanta, Sala 518, Campina Grande - PB, 58410-340, Brazil","{'friday': '8–11AM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8–11AM', 'tuesday': '8–11AM', 'wednesday': '8–11AM', 'thursday': '8–11AM'}",+55 83 99313-0316,
57,Avip arquitetura,,,Architect,"Rua Marquês do Herval, 21 - 1º Andar - Centro, Campina Grande - PB, 58400-087, Brazil","{'friday': '8AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 99142-3017,
58,D & R Arquitetura e Ambientação,,,Architect,"Rua Vice Prefeito Antônio C Sousa 265 - ap 303, PB, 58410-050, Brazil",,+55 83 3341-4580,
59,Trinitá Arquitetura para Saúde,,,Architect,"R. Otaviano Bezerra da Cunha, 101 - Bela Vista, Campina Grande - PB, 58428-774, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99610-6423,
60,Modern Arquitetura e Urbanismo,5.0,5.0,Architect,,"{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99616-9810,https://modernarquitetura.com.br/
61,Studio MRH Arquitetura,5.0,1.0,Architect,"R. Manoel Tavares, 1435 - Sala 07 - Alto Branco, Campina Grande - PB, 58401-490, Brazil","{'friday': '1–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '1–5PM', 'tuesday': '1–5PM', 'wednesday': '1–5PM', 'thursday': '1–5PM'}",+55 83 98629-2418,http://www.studiomrh.com/
62,RR ARQUITETURA,,,Architect,"R. Cap. João Alves de Lira, 1125 - Sala 103 - Prata, Campina Grande - PB, 58400-560, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",,https://www.rrarquitetura.com.br/
63,DoisB Arquitetos Associados,5.0,3.0,Architect,"Empresarial Moura Ramadan, R. Otacílio Nepomuceno, 70 - Sala 304 - Catolé, Campina Grande - PB, 58410-653, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 99639-1159,http://instagram.com/doisb.arquitetos
64,Aline Alves Arquiteta,,,Architect,"R. Ver. Benedito Mota, 570 - Alto Branco, Campina Grande - PB, 58401-718, Brazil","{'friday': '8AM–6PM', 'saturday': '9AM–1PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98220-4020,
65,Renata Wanderley Arquitetura e Interiores,,,Landscape architect,"Ed. San Pietro, R. Montevidéu, 720 - Sala 04 - Prata, Campina Grande - PB, 58428-790, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3322-3165,
66,Emilio Araújo Arquiteto,,,Architect,"Complexo Heron Marinho, R. José Bernardino, Sala 1308 - Vila Cabral, Campina Grande - PB, 58408-000, Brazil","{'friday': '9AM–8PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '9AM–8PM', 'tuesday': '9AM–8PM', 'wednesday': '9AM–8PM', 'thursday': '9AM–8PM'}",+55 83 98902-4453,https://www.instagram.com/emilioaraujoarquiteto/
67,Escritório de Arquiteto Alexandre Magno,,,Architect,"R. Carlos Chagas, 53 - São José, Campina Grande - PB, 58400-398, Brazil",,+55 83 3343-1316,
68,Rodrigo Duda Arquiteto,5.0,2.0,Architect,"R. Antônio Guedes de Andrade, 137 - Catolé, Campina Grande - PB, 58410-223, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99964-6526,
69,Arquiteto - Carlos Alberto Almeida,,,Architect,"R. Dr. João Taváres, 299 - Centro, Campina Grande - PB, 58400-248, Brazil","{'friday': '8–11:30AM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8–11:30AM', 'tuesday': '8–11:30AM', 'wednesday': '8–11:30AM', 'thursday': '8–11:30AM'}",+55 83 3321-2633,
70,UNº Studio Arquitetura,,,Architect,"R. Pres. Costa e Silva, 130 - Sala 02 - Santa Rosa, Campina Grande - PB, 58416-336, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98732-2972,https://www.instagram.com/unstudioarquitetura/
71,Oficina de Projetos,,,Architect,"Av. Pres. Getúlio Vargas, 461 - Centro, Campina Grande - PB, 58400-052, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3322-2419,
